posted,measured,subject,genre,impressions,engagements,detail_clicks,profile_visits,likes,rt,link_clicks,body_url,note
2026-07-16,2026-07-16,甲子園/高校野球,sports,7,,,,,,0,,母数小・判定に使わない
2026-07-16,2026-07-16,クレイジーケンバンド,rock,9,,,,,,0,,母数小・判定に使わない
2026-07-16,2026-07-16,コブクロ,jpop,15,,,,,,4,,短文感情コピー・CTR27%
2026-07-07,2026-07-16,7/7過去分,,11,,,,,,3,,短文・CTR27%
2026-07-19,2026-07-21,中山優馬(長文35件列挙),jpop,208,,,,,,2,,長文全件列挙・CTR約1%
2026-07-19,2026-07-20,長文1本35件列挙,,30,,,,,,0,,Premium課金後・0クリック
2026-07-28,2026-07-30,run fortyeight run,,1060,21,3,1,,,5,reply,セルフリプ型・過去最大
2026-07-28,2026-07-29,BS日本・心の歌,,123,,,,,,,,
2026-07-28,2026-07-29,まるでサイダー,,115,2,,2,,,,,
2026-07-28,2026-07-29,Discotique nite,,55,,,,,,,,
2026-07-28,2026-07-29,ラムネシネマ,,48,,,,,,,,
2026-07-28,2026-07-29,お楽しみはこれからだ,,31,2,1,,,,1,reply,
2026-07-29,2026-08-01,MeseMoa.,idol,271,6,0,3,,,,none,
2026-07-29,2026-08-01,星影の人(締切告知),musical,214,1,0,0,,,,none,締切告知
2026-07-29,2026-08-01,星影の人(2本目),musical,195,1,0,0,,,,none,締切告知
2026-07-29,2026-08-01,Boys Dance&Vocalフェスin一宮,idol,191,0,0,0,,,0,body,
2026-07-29,2026-08-01,中山圭以子,,123,4,0,0,1,2,,none,2日で3.5倍に伸びた
2026-07-29,2026-08-01,佐々木秀実,,26,1,0,0,,,,none,
2026-07-30,2026-08-01,FEVER WAVE,,186,3,0,0,,,,none,
2026-07-30,2026-08-01,jizue 20th,jazz,145,6,1,1,3,0,,none,
2026-07-30,2026-08-01,Chevon,rock,113,0,0,0,,,0,body,
2026-07-30,2026-08-01,藤田朋子&桑山哲也,,106,13,1,2,3,3,,none,エンゲージ率12.3%
2026-07-30,2026-08-01,おいしくるメロンパン,rock,34,1,0,0,,,,none,
2026-07-30,2026-08-01,Hump Back,rock,32,4,1,1,0,0,,none,エンゲージ率12.5%
2026-07-31,2026-08-04,宝塚歌劇 宙組,musical,528,2,1,0,,,1,body,8/1時点270→8/4に528
2026-07-31,2026-08-04,沢田研二,jpop,192,2,0,1,,,,none,8/1時点147
2026-07-31,2026-08-01,flumpool,rock,146,3,0,2,,,,none,
2026-07-31,2026-08-01,北山宏光,jpop,134,3,0,2,,,,none,
2026-07-31,2026-08-01,柴咲コウ,jpop,120,2,0,1,,,,none,
2026-07-31,2026-08-01,milet,jpop,112,1,0,0,,,,none,
2026-07-31,2026-08-04,筋肉少女帯,rock,172,0,0,0,,,0,body,8/1時点75
2026-07-31,2026-08-01,hide,rock,57,1,1,0,,,0,body,
2026-07-31,2026-08-04,初音ミク マジカルミライ,anime,103,1,0,0,,,,none,8/1時点55
2026-07-31,2026-08-01,ペンギンラッシュ,rock,41,1,0,0,,,,none,
2026-08-01,2026-08-02,アインシュタイン15周年ツアー,owarai,381,2,0,2,,,,reply,フォロワー21.8万・1位
2026-08-01,2026-08-04,天才ピアニスト×ヨネダ2000,owarai,357,0,0,0,,,,reply,8/2時点292
2026-08-01,2026-08-04,VISION FESTA(展示),,242,0,0,0,,,,reply,展示・エンゲージ0
2026-08-01,2026-08-02,山里亮太の140,owarai,66,0,0,0,,,,reply,フォロワー153万なのに下位
2026-08-01,2026-08-02,18TRIP,2.5ji,51,0,0,0,,,,reply,
2026-08-02,2026-08-04,Xnterstellar Music Festival 2026,fes,1000,,,2,0,0,,reply,表示1000超で反応0・エンゲージ率1.1%
2026-08-04,2026-08-04,ネクライトーキー(お毒姐さん動画),rock,51,,,,1,,,body,2.6時間後の値
2026-08-13,2026-08-14,ソ・ウングァン(BTOB)ソロ,kpop,229,13,4,2,0,0,,body,エンゲージ率5.7%・台帳最高水準
2026-08-13,2026-08-14,鋼の錬金術師×黄泉のツガイ展 札幌,,627,0,0,0,0,0,,body,展示・エンゲージ0
