=== 週 × 型（まとめ／主役ほか）===
週の始まり    型        本数  インプ    クリック  CTR
2026-06-29   主役ほか        1       13       0     0.000%

2026-07-06   主役ほか        4       83       4     4.819%

2026-07-13   主役ほか        9      522       7     1.341%

2026-07-20   主役ほか       12      136       5     3.676%

2026-07-27   主役ほか       64    11108      27     0.243%

2026-08-03   主役ほか       11     3183      17     0.534%

2026-08-10   主役ほか       34     8602      35     0.407%

2026-08-17   主役ほか       43    16869      36     0.213%

2026-08-24   まとめ         1     1988       0     0.000%
2026-08-24   主役ほか       39    42788     137     0.320%

2026-08-31   まとめ        32    63380      32     0.050%
2026-08-31   主役ほか       13    16943      15     0.089%

